File Reference,Title,RO,Department,Start Date,End Date,PI Name,PI Surname,Tech Product,Type of Tech Product,Open Source?,Description,Year First Provided,Impact,URL
EP/C509773/1,Continuous Processing Of Nanoparticles Using Immiscible Fluid Streams,University of Cambridge,,2005-09-01,2008-08-31,Adrian,Fisher,Fluorescence lifetime imaging microfluidic reactor,Physical Model/Kit,,Bespoke microfluidic reactor prototypes were constructed to allow real time flluorescence lifetime imaging to be performed and applied to the quantitative study of chemical reactions. A three-dimensional finite difference numerical simulation was developed in order to extract quantitative kinetic information from fluorescence lifetime imaging experimental data within the new reactor designs.,,,
EP/C511883/1,Automated abstraction of code into a state-based specification and test generation,University of Sheffield,,2005-10-01,2008-12-31,Kirill,Bogdanov,Statechum,Software,Yes,This tool implements the inference method developed as part of AutoAbstract and REGI research grants.,2007,Was reimplemented by Quviq (Swedish SME) and contributed to their significant growth.,http://statechum.sourceforge.net
EP/C524322/1,A Multiscale Modelling Approach to Engineering Functional Coatings,Loughborough University,,2005-10-01,2009-09-30,Roger,Smith,Bader charge allocation,Software,Yes,It adds on to ab initio codes such as VASP and calculates the Bader charge distribution,2009,The paper about the work has over 555 citations as of 11/14,http://theory.cm.utexas.edu/henkelman/code/bader/
EP/C534778/1,Maskless Non-Planar Photolithography (3DML),Durham University,,2006-03-01,2009-08-31,A,Purvis,3D Maskless Lithographic Exposure Tool,New/Improved Technique/Technology,,"As outlined in the grant proposal, we have created a 3D maskless Lithographic exposure tool as a prototype from an existing maskless exposure tool.",2010,pending.,
EP/C534778/1,Maskless Non-Planar Photolithography (3DML),Durham University,,2006-03-01,2009-08-31,A,Purvis,Matlab based Iterative optimisation algorithm package developed in-house,Software,No,Matlab based Iterative optimisation algorithm package developed in-house,2010,led to patent application,
EP/C534778/1,Maskless Non-Planar Photolithography (3DML),Durham University,,2006-03-01,2009-08-31,A,Purvis,Conical Spiral Antenna,Physical Model/Kit,,We have developed a process which has allowed us to produce a conical spiral antenna as a demonstration of holographic lithography for a real application.,2010,demonstrator unit made,
EP/C536444/1,PLATFORM : MyGrid - A Platform for e-Biology,University of Manchester,,2005-07-11,2009-01-10,Carole,Goble,Taverna Workflow Management System 1.x,Software,Yes,"Scientific Workflow Management Suite of tools, Version1.0-1.7, including: workbench, enactment engine and remote execution service",2006,"Widespread international adoption. Active users in 35 countries.
47,500 Taverna 1.x downloads over its lifetime.
Over 350 organisations used Taverna 1.x products, including: over 20 SMEs,  over 10 Pharma, 10 UK e-Science projects, over 30 UK institutes/universities,  over10 international projects, over 50 international institutes, over 60 international universities, at least7 EU networks, at least 5 EU/USA middleware platforms. 100s more, esp  in China, South America, Africa and so on, that were not trackable. 
We did not require users to register.
Major influence in the field of scientific workflows: Over 2600 combined citations of the 3 papers about Taverna 1.X
Influenced the Scientific workflow systems: Microsoft Research Trident, French MOTEUR, US Vistrails and Kepler, GWorkflowDL Workbench (EU HealthGrid), Amsterdam Workflow Bus. INB (Spain), IST (italy) and Halle (Germany) built independent Taverna web portals.
",http://www.taverna.org.uk
EP/C536444/1,PLATFORM : MyGrid - A Platform for e-Biology,University of Manchester,,2005-07-11,2009-01-10,Carole,Goble,Taverna Workflow Management System 2.x,Software,Yes,"Scientific Workflow Management System and Toolsuite including: enactment engine, workbench, plugins and plugin framework, server, commandline tool, player, interaction service.",2008,"Widespread, global use throughout research labs, universities and some commercial adoption.
A daily audit reveals over a 1000 different users a day across the globe are using the Taverna Workbench to make workflows, and this does not include workflows executed through applications or portals on a server.
Taverna 2.x has More than 40000 downloads in total
More than 5000 downloads of Taverna 2.5 Workbench
Nearly 3000 downloads of Taverna 2.5 Command Line Tool
More than 300 downloads of Taverna 2.5.4 Server",http://www.taverna.org.uk
EP/C536444/1,PLATFORM : MyGrid - A Platform for e-Biology,University of Manchester,,2005-07-11,2009-01-10,Carole,Goble,myExperiment,Webtool/Application,,"Public repository for retaining and sharing scientific workflows. Social sharing platform. myExperiment makes it easy to find, use and share scientific workflows and other Research Objects, and to build communities.",2008,"First and arguably only public sharing platform for any workflow system.
Over 400 citations (combined, google scholar) of 3 main myExperiment papers.
on 11/11/2014 myExperiment has: 9793 registered members, 366 groups, 3497 workflows, 1037 files and 434 packs.
Used by several EU projects (e.g. BioVeL, SCAPE, HELIO, VPH), US (e.g. FLOSS) and companies (e.g. RapidMiner) as their workflow repository.
over 22 workflow systems represented in repository.
in the 30 days in Oct 2014, 2391 unique users (logged in and anonymous), which we can extrapolate.
",http://myexperiment.org
EP/C536444/1,PLATFORM : MyGrid - A Platform for e-Biology,University of Manchester,,2005-07-11,2009-01-10,Carole,Goble,COHSE,Webtool/Application,,"Hypermedia assists the user in navigating the available information space; this space is diverse and distributed, populated by multimedia objects which may be persistent, constantly updated, and perhaps dynamically generated. In a global information environment, where the number and size of potential information resources is huge, of variable quality and aimed at diverse audiences, the focused retrieval of pertinent information becomes a vital issue.
The aim of COHSE was to investigate methods to improve significantly the quality, consistency and breadth of linking of WWW documents at retrieval time (as readers browse the documents) and authoring time (as authors create the documents). It produced a COHSE (Conceptual Open Hypermedia Services Environment) using three leading-edge technologies:
    an ontological reasoning service used to represent a sophisticated conceptual model of document terms and their relationships;
    a Web-based open hypermedia link service that can offer a range of different link-providing facilities in a scalable and non-intrusive fashion;
    the integration of the ontology service and the open hypermedia link service to form a conceptual hypermedia system to enable documents to be linked via metadata describing their contents;
",Pre-2006,"Influenced the current generation of stand-off open annotation platforms such as Annotopia and DOMEO, and the W3C Open Annotation Data Model.",http://cohse.cs.manchester.ac.uk/
EP/C536444/1,PLATFORM : MyGrid - A Platform for e-Biology,University of Manchester,,2005-07-11,2009-01-10,Carole,Goble,Utopia Documents,Software,Yes,"Utopia Documents v2.4 is a free PDF reader that connects the static content of scientific articles to the dynamic world of online content.
Free PDF reader available for Windows, Mac and Linux. Features include:
Direct link-outs from highlighted text to various data sources, scientific information, and search tools
Article impact metrics e.g. altmetrics are included when available to allow readers to view article data
Comments feature to allow researchers to make private comments or publicly discuss an article
Export of tables into spreadsheets and 'toggle' converting numerical tables into scatter plots
Optimized for life science-biomedical-biochemical scientific disciplines
Relies on external services; accessed via plug-ins whose appearance in the interface is mediated by a 'semantic core' for processing and analyzing data",2009,"- In excess of 50k downloads of software since 2009; estimated over 20k current users
- Creation of spinout company (Lost Island Labs) to commercially exploit Utopia Documents. Software licensed to three major biotech/pharma companies.
- Acquisition of rights to one of Utopia's core algorithms by CrossRef to convert publisher's legacy PDFs into XML 
- Inclusion of software in Debian Linux stable release (from 2014 onwards, beginning with 'jessie' release)
",http://utopiadocs.com/
EP/C537211/1,REOL: Reasoning for Expressive Ontology Languages,University of Manchester,,2005-10-01,2007-08-31,Ian,Horrocks,HermiT,Software,,A reasoning system for OWL ontologies,2008,,http://hermit-reasoner.com/
EP/C539109/1,"Development of accurate intermolecular potentials for organic molecules, and their application to the solid state",University College London (UCL),,2005-06-01,2008-12-31,Sarah (Sally),Price,DMACRYS,Software,No,"DMACRYS - Energy minimisation package to simulate rigid molecules with multipoles
This package models crystals of rigid molecules, allowing lattice energy minimisation and the calculation of second derivative properties such as phonon frequencies and mechanical properties. It is designed to use anisotropic atom-atom model intermolecular potentials, particularly distributed multipole electrostatic models, but also has the capability of using distributed polarizabilities and anisotropic repulsion.
",2010,"The program is being licensed by UCL-B, and maintained and updated, with the 2014 release version being 2.0.8. There are licenses to industry and a large number of academic research groups throughout the world.",http://www.cposs.org.uk/
EP/C539834/1,Arteries and Algorithms: Computational physiological flow and arterial disease modelling,Imperial College London (ICL),,2006-01-01,2010-12-31,Spencer,Sherwin,Nektar++ version 4.0.1,Software,Yes,Nektar++ is a tensor product based finite element package designed to allow one to construct efficient classical low polynomial order h-type solvers (where h is the size of the finite element) as well as higher p-order piecewise polynomial order solvers.,2014,The software is being used by a number of national and international groups and our web site is currently being visited up to 100 times a day according to google analytics,http://www.nektar.info/downloads/file/nektar-source-tar-gz-2/
EP/C539842/1,Arteries and Algorithms: Computational physiological flow and arterial disease modelling,Imperial College London (ICL),,2006-07-01,2009-11-30,Spencer,Sherwin,Nektar++ v 4.0,Software,Yes,An openware spectral element framework for transient problems such as fluid mechanics,2008,The software is being used by a number of national and international groups and our web site is currently being visited up to 100 times a day according to google analytics,http://www.nektar.info
EP/C54269X/1,Technologies and Techniques for Single Cell Proteomics and Lipidomics: Nanodigestion and Analysis of a Single Cell Plasma Membrane,Imperial College London (ICL),,2006-08-01,2012-06-30,David,Klug,Nanodigestion,"Systems, Materials & Instrumental Engineering",,Fabrication of SDMs and technologies for single cell biopsies (nanodigestion).,,,
EP/C54269X/1,Technologies and Techniques for Single Cell Proteomics and Lipidomics: Nanodigestion and Analysis of a Single Cell Plasma Membrane,Imperial College London (ICL),,2006-08-01,2012-06-30,David,Klug,Cicculating Tumour Cells (CTCs) protocols,New/Improved Technique/Technology,,Protocols were determined to isolate CTCs from whole-blood patient samples and introduce the isolated cells into a microfluidic device for subsequent analysis.,,,
EP/C54269X/1,Technologies and Techniques for Single Cell Proteomics and Lipidomics: Nanodigestion and Analysis of a Single Cell Plasma Membrane,Imperial College London (ICL),,2006-08-01,2012-06-30,David,Klug,Protocols for cell handling onto chips,New/Improved Technique/Technology,,Cells were detached from flasks using gentle tryptic agents and filtered using a nylon mesh.  Cells are suspended in media using a CO2 independent buffer.  Cells are delivered via capillary tubing.,2011,Cells are used in microfluidic devices for both the MAC chip and SDM platforms both of which have resulted in publications,
EP/C54269X/1,Technologies and Techniques for Single Cell Proteomics and Lipidomics: Nanodigestion and Analysis of a Single Cell Plasma Membrane,Imperial College London (ICL),,2006-08-01,2012-06-30,David,Klug,ImageJ codes to identify and count single molecules,Software,,ImageJ code to identify and count single molecules in acquired TIRF images.  Code is able to count in two different regimes ? low binding density where single molecules are punctate and high binding density where bound molecule number is high and single molecules overlap one another.  Code is able to output binding curves.,2011,,
EP/C54269X/1,Technologies and Techniques for Single Cell Proteomics and Lipidomics: Nanodigestion and Analysis of a Single Cell Plasma Membrane,Imperial College London (ICL),,2006-08-01,2012-06-30,David,Klug,Two Single molecule microscope systems,New/Improved Technique/Technology,,Developed a generic platform to undertake the analysis of protein copy number from single cells with single molecule resolution. The system is based upon a widefield total internal fluorescence microscope and sensitive EMCCD camera .,,,
EP/C54269X/1,Technologies and Techniques for Single Cell Proteomics and Lipidomics: Nanodigestion and Analysis of a Single Cell Plasma Membrane,Imperial College London (ICL),,2006-08-01,2012-06-30,David,Klug,Computational Fluid Dynamics Model of Diffusing Protein,Software,,Computational Fluid Dynamics model of protein diffusing from a lysed single cell in a microfluidic chamber and subsequent binding to an antibody patch (using SimuLink/Comsol).,2011,,
EP/C54269X/1,Technologies and Techniques for Single Cell Proteomics and Lipidomics: Nanodigestion and Analysis of a Single Cell Plasma Membrane,Imperial College London (ICL),,2006-08-01,2012-06-30,David,Klug,Image processing scripts for automation of routine calculations,Software,,Diffusion script which calculates the time for binding to a spot in a cylindrical chamber by calculating the eigenvalues and eigenfunctions of the diffusion operator using appropriate boundary conditions.,2011,,
EP/C54269X/1,Technologies and Techniques for Single Cell Proteomics and Lipidomics: Nanodigestion and Analysis of a Single Cell Plasma Membrane,Imperial College London (ICL),,2006-08-01,2012-06-30,David,Klug,Multibeam time multiplex holographic trapping system,New/Improved Technique/Technology,,Multibeam time multiplex holographic trapping system (using spatial light modulator).,,,
EP/C54269X/1,Technologies and Techniques for Single Cell Proteomics and Lipidomics: Nanodigestion and Analysis of a Single Cell Plasma Membrane,Imperial College London (ICL),,2006-08-01,2012-06-30,David,Klug,Microfluidic Antibody Capture Chips,New/Improved Technique/Technology,,"Designed and built microfluidic antibody capture chips, an all optical platform for the quantification of protein in single cells. Cells are loaded into these devices, transported to analysis chambers using an optical trap and then ruptured with the use of a high powered optical lysis laser. The intracellular contents are then quantified by the use of a miniaturized ELISA format. Proteins bind to antibodies on the surface of the device and a secondary fluorescent antibody, present in solution completes the sandwich system. Total Internal Reflection Fluorescence (TIRF) microscopy is then used to detect and count the amount of protein that has bound to the antibody spot.",2011,The use of MAC chips dominates an entire work stream in the Proxomics project and has resulted in a number of publications.,
EP/C54269X/1,Technologies and Techniques for Single Cell Proteomics and Lipidomics: Nanodigestion and Analysis of a Single Cell Plasma Membrane,Imperial College London (ICL),,2006-08-01,2012-06-30,David,Klug,Track Reader,New/Improved Technique/Technology,,A custom-built UV-based detection platform was constructed to image CE-separated proteins which were depositied into tracks on a metal substrate.,,,
EP/C54269X/1,Technologies and Techniques for Single Cell Proteomics and Lipidomics: Nanodigestion and Analysis of a Single Cell Plasma Membrane,Imperial College London (ICL),,2006-08-01,2012-06-30,David,Klug,LabView interface for the automated Capillary Electrophoresis,Software,,LabView interface for the automated Capillary Electrophoresis,2011,,
EP/C54269X/1,Technologies and Techniques for Single Cell Proteomics and Lipidomics: Nanodigestion and Analysis of a Single Cell Plasma Membrane,Imperial College London (ICL),,2006-08-01,2012-06-30,David,Klug,Protocols for protein deposition,New/Improved Technique/Technology,,Protocols for protein deposition with tapered capillary and low voltages/low pressure (improved technique).,,,
EP/C54269X/1,Technologies and Techniques for Single Cell Proteomics and Lipidomics: Nanodigestion and Analysis of a Single Cell Plasma Membrane,Imperial College London (ICL),,2006-08-01,2012-06-30,David,Klug,Single Cell Antibody printing,New/Improved Technique/Technology,,"All antibodies were printed by an OmniGrid Micro microarrayer (Digilab, UK) using 946MP2 pins (ArrayIt, USA). Spotting solution was optimised for DNA, antibody, protein or cell-lysate printing.",2011,Antibody printing is a vital step in the MAC chip platform. This platform is a vital part of the proxomics project and has resulted in a number of publications.,
EP/C54269X/1,Technologies and Techniques for Single Cell Proteomics and Lipidomics: Nanodigestion and Analysis of a Single Cell Plasma Membrane,Imperial College London (ICL),,2006-08-01,2012-06-30,David,Klug,Recasting of existing database for 2DIR,Software,,Algorithm for protein identification based upon amino acid composition.,2008,,
EP/C54269X/1,Technologies and Techniques for Single Cell Proteomics and Lipidomics: Nanodigestion and Analysis of a Single Cell Plasma Membrane,Imperial College London (ICL),,2006-08-01,2012-06-30,David,Klug,Dualbeam trapping system using steering mirrors and polarisation multiplexing,New/Improved Technique/Technology,,Dualbeam trapping system using steering mirrors and polarisation multiplexing,,,
EP/C54269X/1,Technologies and Techniques for Single Cell Proteomics and Lipidomics: Nanodigestion and Analysis of a Single Cell Plasma Membrane,Imperial College London (ICL),,2006-08-01,2012-06-30,David,Klug,Protocols for CE and sample deposition,New/Improved Technique/Technology,,Protocols for CE and sample deposition with non-tapered ultrathin capillaries,,,
EP/C54269X/1,Technologies and Techniques for Single Cell Proteomics and Lipidomics: Nanodigestion and Analysis of a Single Cell Plasma Membrane,Imperial College London (ICL),,2006-08-01,2012-06-30,David,Klug,Automation of chip reader,Software,,Automation of chip reader,2011,,
EP/C54269X/1,Technologies and Techniques for Single Cell Proteomics and Lipidomics: Nanodigestion and Analysis of a Single Cell Plasma Membrane,Imperial College London (ICL),,2006-08-01,2012-06-30,David,Klug,Laser Systems,New/Improved Technique/Technology,,Ytterbium fibre laser at 1070nm was used for optical trapping of single cells. Nd:YAG short pulsed laser was used to set up a cavitation bubble within a microfluidic chamber to lyse a single cell.,,,
EP/C54269X/1,Technologies and Techniques for Single Cell Proteomics and Lipidomics: Nanodigestion and Analysis of a Single Cell Plasma Membrane,Imperial College London (ICL),,2006-08-01,2012-06-30,David,Klug,Microfluidic chips design for handling Smart Droplet Microtools and cells,"Systems, Materials &amp; Instrumental Engineering",,Microfluidic chips design for handling Smart Droplet Microtools and cells,2011,Smart Droplet microtools and the associated platform have led to the publication of several papers.,
EP/C54269X/1,Technologies and Techniques for Single Cell Proteomics and Lipidomics: Nanodigestion and Analysis of a Single Cell Plasma Membrane,Imperial College London (ICL),,2006-08-01,2012-06-30,David,Klug,Microfluidics Platform,New/Improved Technique/Technology,,Designed and built microfluidics platform,,,
EP/C54269X/1,Technologies and Techniques for Single Cell Proteomics and Lipidomics: Nanodigestion and Analysis of a Single Cell Plasma Membrane,Imperial College London (ICL),,2006-08-01,2012-06-30,David,Klug,Labview Track Writing Stage Control Interface,Software,,Labview Track Writing Stage Control Interface,2011,,
EP/C54269X/1,Technologies and Techniques for Single Cell Proteomics and Lipidomics: Nanodigestion and Analysis of a Single Cell Plasma Membrane,Imperial College London (ICL),,2006-08-01,2012-06-30,David,Klug,Automatic handling system for 2DIR samples,New/Improved Technique/Technology,,Automatic handling system for 2DIR samples,,,
EP/C54269X/1,Technologies and Techniques for Single Cell Proteomics and Lipidomics: Nanodigestion and Analysis of a Single Cell Plasma Membrane,Imperial College London (ICL),,2006-08-01,2012-06-30,David,Klug,2DIR spectrometer,New/Improved Technique/Technology,,Construction of 2DIR Spectrometer and applying it to the detection of oxidized protein side chains.,2011,2DIR has been able to successfully detect oxidised forms of proteins and this has lead to publication.,
EP/C54269X/1,Technologies and Techniques for Single Cell Proteomics and Lipidomics: Nanodigestion and Analysis of a Single Cell Plasma Membrane,Imperial College London (ICL),,2006-08-01,2012-06-30,David,Klug,Reflection/transmission optical setup for 2DIR spectrometer,New/Improved Technique/Technology,,Reflection/transmission optical setup for 2DIR spectrometer,,,
EP/C54269X/1,Technologies and Techniques for Single Cell Proteomics and Lipidomics: Nanodigestion and Analysis of a Single Cell Plasma Membrane,Imperial College London (ICL),,2006-08-01,2012-06-30,David,Klug,Single Cell Analysis MATLAB code to identify and count single molecules,Software,,Matlab code to identify and count single molecules in acquired TIRF images.  Code is able to count in two different regimes ? low binding density where single molecules are punctate and high binding density where bound molecule number is high and single molecules overlap one another.  Code is able to output binding curves.,2011,,
EP/C54269X/1,Technologies and Techniques for Single Cell Proteomics and Lipidomics: Nanodigestion and Analysis of a Single Cell Plasma Membrane,Imperial College London (ICL),,2006-08-01,2012-06-30,David,Klug,DNA printing,New/Improved Technique/Technology,,DNA printing - Array of RNA capture DNA oligoneucleotides,,,
EP/C54269X/1,Technologies and Techniques for Single Cell Proteomics and Lipidomics: Nanodigestion and Analysis of a Single Cell Plasma Membrane,Imperial College London (ICL),,2006-08-01,2012-06-30,David,Klug,Labview suite for 2DIR spectrometer full control,Software,,Labview suite for 2DIR spectrometer full control,2011,,
EP/C54269X/1,Technologies and Techniques for Single Cell Proteomics and Lipidomics: Nanodigestion and Analysis of a Single Cell Plasma Membrane,Imperial College London (ICL),,2006-08-01,2012-06-30,David,Klug,Fabrication of microfluidic processes/ microarray fabrication DNA and protein/ surface chemistry/ blocking optimisation of microarray devices,"Systems, Materials & Instrumental Engineering",,Fabrication of microfluidic processes/ microarray fabrication DNA and protein/ surface chemistry/ blocking optimisation of microarray devices,,,
EP/C54269X/1,Technologies and Techniques for Single Cell Proteomics and Lipidomics: Nanodigestion and Analysis of a Single Cell Plasma Membrane,Imperial College London (ICL),,2006-08-01,2012-06-30,David,Klug,GLSL codes for dynamic hologram generation,Software,,GLSL codes for dynamic hologram generation,2012,,
EP/C54269X/1,Technologies and Techniques for Single Cell Proteomics and Lipidomics: Nanodigestion and Analysis of a Single Cell Plasma Membrane,Imperial College London (ICL),,2006-08-01,2012-06-30,David,Klug,Track writing,New/Improved Technique/Technology,,Merger of track writing and antibody detection technology.,,,
EP/C54269X/1,Technologies and Techniques for Single Cell Proteomics and Lipidomics: Nanodigestion and Analysis of a Single Cell Plasma Membrane,Imperial College London (ICL),,2006-08-01,2012-06-30,David,Klug,Single Cell lysis protocols,New/Improved Technique/Technology,,A technique using a short pulsed laser is employed to lyse single cells. Through a series of physical processes a cavitation bubble expands from the focal point of the laser. The shearing forces experienced by the cell placed approximately 10_m away disrupts the cell and liberates intracellular constituents for analysis. It has been demonstrated that the cell may be fully (all membranes ruptured including nuclear membrane) or partially (only plasma membrane ruptured preserving the nucleus intact) lysed.  The optical lysis process is extremely fast whereby the cell is disrupted within a few microseconds.,2011,Optical lysis is a vital part of the Microfluidic antibody capture platform which has resulted in a number of publications.,
EP/C54269X/1,Technologies and Techniques for Single Cell Proteomics and Lipidomics: Nanodigestion and Analysis of a Single Cell Plasma Membrane,Imperial College London (ICL),,2006-08-01,2012-06-30,David,Klug,A novel application of a FRET probe available from Invitrogen,"Systems, Materials & Instrumental Engineering",,A novel application of a FRET probe available from Invitrogen (Red/Green Bodipy phosphatidylcholine) has been tested. The probe was designed by the manufacturer to measure phospholipase activity. We incorporated this probe in live cell and model membranes and we demonstrated it can be applied to measure the lateral pressure in lipid bilayers.,,,
EP/C54269X/1,Technologies and Techniques for Single Cell Proteomics and Lipidomics: Nanodigestion and Analysis of a Single Cell Plasma Membrane,Imperial College London (ICL),,2006-08-01,2012-06-30,David,Klug,Single Cell Analysis MATLAB code to calculate binding times,Software,,The single molecule scripts were used to count molecules in sequences of antibody spot images under bleaching conditions. This is done with simple thresholding of connected components using built-in MATLAB image processing routines. Also included are the functions for fitting single molecules to gaussians which gave comparable results but for much more computation.,2011,,
EP/C54269X/1,Technologies and Techniques for Single Cell Proteomics and Lipidomics: Nanodigestion and Analysis of a Single Cell Plasma Membrane,Imperial College London (ICL),,2006-08-01,2012-06-30,David,Klug,Single Cell Analysis software,Software,,Algorithm for Single cell trapping and laser lysis,2011,,
EP/C54269X/1,Technologies and Techniques for Single Cell Proteomics and Lipidomics: Nanodigestion and Analysis of a Single Cell Plasma Membrane,Imperial College London (ICL),,2006-08-01,2012-06-30,David,Klug,LabView trapping system interface,Software,,Labview Track Writing Stage Control Interface,2012,,
